"published_date",doi,title,authors,affiliations
"April 1st 2020, 00:00:00.000","10.1166/jnn.2020.17376","9,10-(Divinyl) Anthracene Based Bright Aggregation-Induced Emission Organic Dots for HeLa Cells Imaging","[""Yan Zhang"",""Na Liu"",""Shuang Su"",""Rui Jiang"",""Hua Li""]","[""Chongqing Key Laboratory of Green Synthesis and Applications, College of Chemistry, Chongqing Normal University, Chongqing 401331, China"",""Department of Foreign Language, Army Logistics University of PLA, Chongqing 401331, China""]"
"April 1st 2020, 00:00:00.000","10.1166/jnn.2020.17320","Use of Amidoxime Polyacrylonitrile Bead-Supported Pd-Based Nanoparticles as High Efficiency Catalysts for Dehydrogenation of Formic Acid","[""Lili Chen"",""Daifeng Hao"",""Zhenzhen Wang"",""Yulin Li"",""Ge Gao"",""Xiufeng Hao"",""Wenxiang Zhang"",""Mingjun Jia""]","[""College of Chemistry, Jilin University, Changchun, 130012, P. R. China"",""Department of Wound Repair Center, Burn and Plastic Surgery, First Affiliated Hospital of Chinese PLA General Hospital, Beijing, 100037, P. R. China""]"
"March 1st 2020, 00:00:00.000","10.1166/jnn.2020.17158","Cytotoxicity, Oxidative Stress, and Autophagy Effects of Tantalum Nanoparticles on MC3T3-E1 Mouse Osteoblasts","[""Peihuan Wang"",""Pengyan Qiao"",""Helin Xing"",""Rong Zhang"",""E Lingling"",""Hongchen Liu""]","[""Institute of Stomatology, Medical School of Chinese PLA, Beijing, 100853, China""]"
"February 1st 2020, 00:00:00.000","10.1061/(asce)cf.1943-5509.0001349","Attenuation and Time-Frequency Characteristics of Explosion Ground Vibration of Shallow Buried OD1422-X80mm-12 MPa Pipeline Based on Prototype Experiment","[""Huayuan Ma"",""Yuan Long"",""Xinghua Li"",""Mingshou Zhong"",""Qin Yin"",""Quanmin Xie""]","[""Army Engineering Univ. of PLA, No. 1, Guanghua Rd., Hai Fu Ln., Nanjing, Jiangsu 210007, China."",""Army Engineering Univ. of People’s Liberation Army, No. 1, Guanghua Rd., Hai Fu Ln., Nanjing, Jiangsu 210007, China."",""Army Engineering Univ. of People’s Liberation Army, No. 1, Guanghua Rd., Hai Fu Ln., Nanjing, Jiangsu 210007, China (corresponding author)."",""Professor, Army Engineering Univ. of People’s Liberation Army, No. 1, Guanghua Rd., Hai Fu Ln., Nanjing, Jiangsu 210007, China.""]"
"November 20th 2019, 00:00:00.000","10.1111/neup.12605","Isolated lymphomatoid granulomatosis of the central nervous system: A case report and literature review","[""Chao He"",""Yunxia Wang"",""Leyi Zhang"",""Chenglong Lu"",""Wei Ge"",""Qingkui Zhang"",""Qiuping Gui"",""Ruozhuo Liu"",""Shengyuan Yu""]","[""Department of PathologyChinese PLA General Hospital Beijing China"",""Department of NeurologyChinese PLA General Hospital Beijing China""]"
"November 20th 2019, 00:00:00.000","10.1155/2019/7429320","Algebraic Degree Estimation of ACORN v3 Using Numeric Mapping","[""Lin Ding"",""Lei Wang"",""Dawu Gu"",""Chenhui Jin"",""Jie Guan""]","[""Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai 200240, China"",""Westone Cryptologic Research Center, Beijing 100000, China"",""PLA SSF Information Engineering University, Zhengzhou 450001, China""]"
"November 20th 2019, 00:00:00.000","10.1002/jcb.29506","Differential expression of miR‐142‐3p protects cardiomyocytes from myocardial ischemia‐reperfusion via TLR4/NFkB axis","[""Zhikun Zhao"",""Feng Qu"",""Runmei Liu"",""Yunfeng Xia""]","[""Department of Orthopedics, Beijing Tongren HospitalCapital Medical UniversityBeijing China"",""Division One, For Senior OfficersFourth Medical Center of PLA General HospitalBeijing Haidian China""]"
"November 19th 2019, 00:00:00.000","10.1111/jphp.13191","Therapeutic effects of Aconiti Lateralis Radix Praeparata combined with Zingiberis Rhizoma on doxorubicin‐induced chronic heart failure in rats based on an integrated approach","[""Jian‐Xia Wen"",""Rui‐Sheng Li"",""Jian Wang"",""Jun‐Jie Hao"",""Wei‐Han Qin"",""Tao Yang"",""Rui‐Lin Wang"",""Shi‐Zhang Wei"",""Xiao‐Yi Liu"",""Hao‐Tian Li"",""Jia‐Bo Wang"",""Hong‐Hong Liu"",""Yan‐Ling Zhao""]","[""Institute of Medicinal Chemistry of Chinese Medicine Chongqing Academy of Chinese Materia Medica Chongqing China"",""Research Center for Clinical and Translational Medicine Fifth Medical Center General Hospital of Chinese PLA Beijing China"",""Department of Traditional Chinese Medicine Fifth Medical Center General Hospital of Chinese PLA Beijing China"",""Department of Pharmacy Fifth Medical Center General Hospital of Chinese PLA Beijing China"",""Integrative Medical Center Fifth Medical Center General Hospital of Chinese PLA Beijing China"",""College of Pharmacy, Provincial and State Key Laboratory Breeding Base of System Research Development and Utilization of Chinese Herbal Medicine Resources Chengdu University of Traditional Chinese Medicine Chengdu China""]"
"November 19th 2019, 00:00:00.000","10.1155/2019/9147835","Effects of Stromal Cell-Derived Factor-1α Secreted in Degenerative Intervertebral Disc on Activation and Recruitment of Nucleus Pulposus-Derived Stem Cells","[""Jinwei Ying"",""Zhihua Han"",""Shishen Pei"",""Linghao Su"",""Dike Ruan""]","[""The Second School of Clinical Medicine, Southern Medical University, Guangzhou 510515, China"",""Department of Orthopedic Surgery, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou 325000, China"",""Department of Trauma and Orthopedics, Trauma Center, Shanghai General Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai 201620, China"",""Department of Orthopedic Surgery, The Fourth People’s Hospital of Hengshui, Hengshui 053000, China"",""Experimental Trauma & Orthopedic Surgery, JW Goethe-University, Frankfurt am Main, Germany"",""Department of Orthopedic Surgery, The Sixth Medical Center of PLA General Hospital, Beijing 100048, China""]"
"November 19th 2019, 00:00:00.000","10.3892/etm.2019.8217","Clinical characteristics and association analysis of persistent low‑level HBsAg expression in a physical examination population with HBV infection","[""Yuzhu Dai"",""Feihu Che"",""Xiaoxiao Jiang"",""Dawei Cui"",""Huajun Zhou"",""Xujian Xu"",""Changgui Sun"",""Jun Cheng""]","[""Department of Biotechnology, University of Tokyo, Tokyo 1138656, Japan"",""Department of Clinical Laboratory, The 903rd Hospital of The PLA, Hangzhou, Zhejiang 310003, P.R. China"",""Department of Laboratory Medicine, Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang 310003, P.R. China"",""Department of Respiration, The 903rd Hospital of The PLA, Hangzhou, Zhejiang 310003, P.R. China""]"
"November 16th 2019, 00:00:00.000","10.1155/2019/5753813","Association between Lifestyle and Gastroesophageal Reflux Disease Questionnaire Scores: A Cross-Sectional Study of 37 442 Chinese Adults","[""Yan Gong"",""Qiang Zeng"",""Yi Yan"",""Chaojing Han"",""Yansong Zheng""]","[""Health Management Institute, Chinese PLA General Hospital, Beijing 100853, China"",""Medical Director Quan Care Llc, 53 Elizabeth Street, Suite 4C, New York, NY 10013, USA""]"
"November 16th 2019, 00:00:00.000","10.3233/jifs-191130","Dynamic multi-objective optimization for multi-period emergency logistics network","[""Yadong Wang"",""Quan Shi"",""Qiwei Hu""]","[""Department of Equipment Command and Management, Army Engineering University of PLA, Shijiazhuang, China""]"
"November 15th 2019, 00:00:00.000","10.1155/2019/4521231","Efficacy of Shenqi Pollen Capsules for High-Altitude Deacclimatization Syndrome via Suppression of the Reoxygenation Injury and Inflammatory Response","[""Binfeng He"",""Mingdong Hu"",""Zhihui Liang"",""Qianli Ma"",""Yunhai Zi"",""Zhiwei Dong"",""Qi Li"",""Yongjun Luo"",""Guisheng Qian"",""Liang Guo"",""Kexiong Lin"",""Zhenyu Liu"",""Guansong Wang""]","[""Department of Respiration, Tongren City People’s Hospital, Guizhou 554300, China"",""Center for Disease Control and Prevention of Zhengzhou City and First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan 450000, China"",""Department of Emergency, The First Affiliated Hospital of Nanchang University, Nanchang 330006, China"",""College of High Altitude Military Medicine, Third Military Medical University, Chongqing 400038, China"",""Bethune International Peace Hospital of PLA, Shijiazhuang, Hebei 050000, China"",""Institute of Respiratory Diseases, Xinqiao Hospital of the Third Military Medical University, Chongqing 400037, China""]"
"November 15th 2019, 00:00:00.000","10.1089/mdr.2019.0058","New Delhi Metallo-β-Lactamase 1-Producing Klebsiella pneumoniae ST719 Isolated from a Neonate in China","[""Jinhui Li"",""Xiaofeng Hu"",""Lang Yang"",""Yanfeng Lin"",""Yuqi Liu"",""Peihan Li"",""Kaiying Wang"",""Shaofu Qiu"",""Peng Li"",""Hongbin Song""]","[""Center for Disease Control and Prevention of PLA, Beijing, China."",""Academy of Military Medical Sciences, Beijing, China.""]"
